iteration,vortex_area,omega_value,error,psi_min
1,0.04775009265296931,-104.71183870444445,0.06630147219601984,-0.3354991823634196
2,0.12685298415112345,-39.4157065634606,0.10190572465620622,-0.42637695420213806
3,0.2227247307972504,-22.449235799286132,0.08747950547193895,-0.4169253622055903
4,0.31811346080223313,-15.717662457259024,0.05280712068121048,-0.3673933768216409
5,0.3789181106932086,-13.195463238357204,0.03100368779189403,-0.3368164658294689
6,0.4183102876327823,-11.952849709470446,0.019655532472641356,-0.31421091545432617
7,0.44334260908921874,-11.277959522708079,0.014069068355564493,-0.29678008711854587
8,0.4543579264978132,-11.004540051804433,0.01107743997647537,-0.28917152258322093
9,0.4677573473054309,-10.689302966170528,0.009772966528096949,-0.27663050768812253
10,0.4710399817379713,-10.614810194140558,0.006896646744183388,-0.2724646629964094
11,0.47135008321291494,-10.607826704766774,0.00599792371333692,-0.26872365381855373
12,0.4759760546374653,-10.50473012514953,0.005124270457111106,-0.262697496752066
13,0.4742556656069251,-10.542836622945321,0.004416407333114128,-0.2628827410138431
14,0.4824049103736111,-10.364736951221369,0.004548629841358001,-0.2557245519662858
15,0.4794401437285911,-10.428830512845995,0.0020746646559271203,-0.25656347434021115
16,0.47747500946015087,-10.471752240296652,0.0017902409634015853,-0.2582117422060087
17,0.48147650211295256,-10.384722780982194,0.001984027039170115,-0.25487260778876697
18,0.4830623690730129,-10.350630312178737,0.0013150368705357662,-0.253043087327955
19,0.48031981283181463,-10.409730905168312,0.0012536602629185775,-0.25302800042018836
20,0.48023853436534697,-10.411492710820646,0.0013938725882422605,-0.25230731347808877
21,0.4832772359663546,-10.346028382657147,0.0024965568042176183,-0.24899452305300127
22,0.4812812892148713,-10.38893493689865,0.0010778975253922757,-0.24927339601565673
23,0.4828476955745433,-10.355232189832593,0.0011732188247535768,-0.24772860470652364
24,0.48481792549847236,-10.313150024020214,0.0015562299128738177,-0.24542645113751116
25,0.48481792549847236,-10.313150024020214,0.0006289758125217865,-0.24476829060990307
26,0.4839995658597612,-10.330587778768274,0.00038377584694204345,-0.24517601064343947
27,0.4839995658597612,-10.330587778768274,0.00043119346156892627,-0.2448159308564137
28,0.483778181511361,-10.335315214877214,0.00015195918981085628,-0.24489462322906733
29,0.4836103616493085,-10.338901720277377,9.121680999198753e-05,-0.24504210443337235
30,0.4836103616493085,-10.338901720277377,0.0004071164426872225,-0.2451490735452847
31,0.4836103616493085,-10.338901720277377,0.0,-0.2451490735452847
