iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.0481016269373262,-20.789317610877188,0.013617218286448884,-0.039586110499023996,0.20149649412273407
2,0.044659122940041825,-22.391841446205156,0.0029937099432037757,-0.050989456762816576,0.19350747175568642
3,0.04404578180997595,-22.70364967783384,0.003792122874589351,-0.062256385511355226,0.20168319132114376
4,0.04790930106309457,-20.872773716382156,0.005129989056935422,-0.07030581111830028,0.20737624998852858
5,0.05600344408326971,-17.856044683843592,0.0014822047080906375,-0.059454359879530315,0.18481893376177586
6,0.053892301686925694,-18.55552590440947,0.0009562972726000977,-0.06330807212226364,0.19205891191261143
