iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.023551578333708172,-42.459999318548896,0.010380438233802419,-0.0647069834369635,0.13929567143075358
2,0.030294590973979654,-33.00919298956406,0.004920361340047261,-0.06933457117763864,0.12992359006714016
3,0.03663885843968565,-27.293426776551602,0.0019206887350527442,-0.06305819070157624,0.11841844790170256
4,0.038752086986841815,-25.80506181098189,0.0011897688743619603,-0.06258035124845424,0.11646932397579039
5,0.03992990162690916,-25.04388839581037,0.0005327720297141238,-0.06170333479284374,0.11557575336967921
