iteration,vortex_area,omega_value,error,psi_min
1,0.04700586474907587,-53.184852854965285,0.026743032860709625,-0.1506859944082774
2,0.08858596812620967,-28.221173769170925,0.02485956142648902,-0.16699499992203723
3,0.11388457891285497,-21.952050258824,0.02633888719881466,-0.18600593238198843
4,0.14440393388774003,-17.31254774501854,0.011519206379941265,-0.16549132378472545
5,0.15967835559916635,-15.656473857206056,0.009228834228339703,-0.16329575851843714
6,0.17194181218141955,-14.53980255461188,0.007464053346334729,-0.1618872681323277
7,0.1843649797556425,-13.560058983617724,0.0037068758242449775,-0.15340179867371695
8,0.1925789903205806,-12.981686090670241,0.0035339999870735157,-0.14642644040723407
9,0.19158204067539805,-13.049239851431631,0.0005716854036824915,-0.14775349772460436
10,0.19158204067539805,-13.049239851431631,0.0,-0.14775349772460436
