iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.007812457430168799,-320.0017436697871,0.03657292194511822,-0.3172810073214102,0.21798695603531745
2,0.031158758582674827,-80.23426200907993,0.03921149710475627,-0.2618281399565939,0.12803097526908205
3,0.06461718619443467,-38.68939746892475,0.03208035077459245,-0.22067921660269638,0.10053114997056778
4,0.0952630358346883,-26.243127547796146,0.02108934353674335,-0.19391202755145398,0.08970005480162524
5,0.11996089849111267,-20.840124002449123,0.012439356569054026,-0.17243484071136553,0.0840108733834106
6,0.13343038151510056,-18.73636252562967,0.007956450483997632,-0.1622006450877428,0.08244166139378316
7,0.14308368738669158,-17.472292234429293,0.006075453474335879,-0.15277174937991075,0.08098175090830022
8,0.14798208322205486,-16.893937060263028,0.005300038737643293,-0.14715892534278913,0.08055753528124153
9,0.14998582890517329,-16.66824138152808,0.004505803171833176,-0.14362457561382475,0.08092369234970281
10,0.15165092960728888,-16.48522700437071,0.003827503106552077,-0.14031827784309286,0.08112939198203842
11,0.1524992701944327,-16.39352107595376,0.0035167215090113387,-0.13786260625484073,0.08147074730052248
12,0.15364590570814005,-16.271178776145884,0.0028991090329386878,-0.13512953676044376,0.08167540760806034
13,0.1540683496839062,-16.22656441202308,0.0026084212313008575,-0.13312560888287397,0.08191165144824356
14,0.15458463300913852,-16.172370767618332,0.002414968433482155,-0.13117181836602276,0.08210554599507668
15,0.1548983122033086,-16.13962066106102,0.0020318013158435334,-0.12939789871519794,0.08224324699577534
16,0.15520892750795084,-16.107320887659206,0.0018798994137387921,-0.1273784738132935,0.08225134776107543
17,0.15466235605391668,-16.1642436064305,0.0014348306864174832,-0.1265919129156418,0.08262850003186956
18,0.15520711043516033,-16.107509462618374,0.0014695692593940737,-0.12488709687739806,0.08264964464658642
19,0.153946961393173,-16.23935917523648,0.0011217374668227539,-0.12507864776619543,0.08326109104541328
20,0.1539906437334677,-16.234752575793408,0.001090968703776842,-0.12386894001230128,0.08329323147323918
21,0.15450965288497442,-16.180218862190696,0.0008575814126381559,-0.1227462896252906,0.08325288634023302
