iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.070115841847912,-35.65528037761766,0.02390542180663232,-0.1198981115959393,0.16608271689127918
2,0.10200087894545361,-24.509592719655974,0.022044908924481882,-0.1482661455599518,0.13668134230963108
3,0.12834658539172206,-19.478508075379168,0.020388513402647405,-0.16242552995784004,0.12414344979056817
4,0.15086693134041534,-16.570894481568086,0.016306465230979943,-0.16688640437936483,0.11917501740827048
5,0.1698678844148991,-14.717319925488663,0.010832708533913476,-0.16459760609098117,0.11625392507655488
6,0.18463448734464138,-13.540265613181269,0.006476117068962303,-0.15963932414970597,0.1144251564130705
7,0.1931057611344377,-12.946273509983644,0.003916021669601708,-0.15671926595461122,0.11386372217557936
8,0.19865588710928428,-12.584575450435576,0.002357122990821346,-0.15418555010706497,0.11361431824785877
9,0.20302688490607584,-12.313640142568056,0.001469593592197625,-0.15121157318731243,0.11316622124471738
10,0.20496531666401027,-12.19718555651115,0.0008413702332450302,-0.14957965256435649,0.11306353277450597
