iteration,A_top,A_bot,omega_top,omega_bot,error
1,0.2511551159310505,0.2545891714186242,-3.9816031470946807,3.9278968324842354,1.4141249218628087
2,0.0,0.0,0.0,0.0,0.10683419106658786
3,0.0,0.0,0.0,0.0,0.0
