iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.007812457430168827,-640.003487339572,0.07569019820450573,-0.6684888548950023,0.43597391207063346
2,0.054421634486657204,-91.87522659257638,0.12446903887790785,-0.5737984233331006,0.21330656513705779
3,0.157634914473524,-31.71886137471016,0.11409162940108655,-0.47094400162907746,0.15470647354488287
4,0.2800071165328973,-17.85668900816156,0.06478153799748429,-0.3720986102049415,0.1325854114699542
5,0.3710362573252858,-13.475771979924115,0.03082945436884528,-0.30618989602840113,0.12124510723360882
6,0.41488966258549054,-12.051396915606977,0.016945814550404763,-0.2744684006678956,0.11700544122152583
7,0.4334239432839072,-11.53604935185787,0.013542584585302067,-0.25672657818358263,0.11517526633966212
8,0.4409001426304409,-11.340436340459433,0.011812562154677301,-0.24505794399508452,0.1142871942661841
9,0.44101956463283576,-11.337365507044286,0.01018879153690047,-0.23902697021442607,0.11434293310113063
10,0.4383586338824348,-11.406185742747274,0.008639868839781394,-0.23630102683896634,0.11480893090148107
11,0.4361841688652907,-11.463047852028254,0.007530576562287523,-0.23501923073845632,0.11528792365368587
12,0.43569665459852014,-11.475874205661121,0.007732167633056158,-0.2330016388128924,0.11560584000951986
13,0.4311333225223757,-11.597340634092372,0.007174281424544864,-0.23472254717240446,0.11664303269746833
14,0.43024725907484906,-11.62122452738313,0.007563488623300032,-0.2358571263581228,0.11762823699402992
15,0.4306877476331188,-11.609338848104981,0.00717142761580821,-0.23605001253621036,0.1183405903521471
16,0.43029916121113454,-11.619822790095224,0.00826912014823641,-0.23820062864602254,0.11927556573673989
17,0.4292983430073908,-11.646911946999806,0.00832041304531591,-0.24112723340355743,0.1206195306640875
18,0.42808367423665006,-11.679959552103679,0.007995456139478116,-0.2445549969217623,0.12200388550739918
19,0.4303589203642919,-11.6182092746389,0.008180987136078217,-0.24618807393883027,0.12333651836638766
20,0.4316899694298486,-11.582386328326585,0.00826903337978055,-0.24853424957919987,0.1246117000202245
21,0.43238954637612675,-11.56364681316926,0.008392926051083343,-0.25164330192639744,0.12617304086823622
22,0.43533508853486286,-11.485405453595973,0.007916376847510403,-0.2533892588190576,0.12768216441929922
23,0.4423374011660946,-11.303588588301478,0.006676286979867546,-0.2504288474318373,0.12777955521244813
24,0.4469628746523774,-11.1866114246932,0.005960679307619286,-0.24713662859361563,0.12788581513170705
25,0.4483856988906997,-11.15111390120143,0.005459699868694197,-0.2459280929945348,0.1284696829557346
26,0.44911514599116525,-11.133002404016802,0.004600749312530146,-0.24504343825102498,0.12896617390846876
27,0.45173417828719237,-11.068456274347309,0.004426887189769476,-0.2421422161806734,0.12903625324344792
28,0.45259782384307173,-11.047335485496367,0.0045911246635145725,-0.24017967586502048,0.12943618273235846
29,0.45452787216192325,-11.000425510140719,0.004163271887700484,-0.237399459436317,0.12960087899680783
30,0.45427552403124216,-11.006536199947528,0.003419085550877804,-0.2361340923561431,0.1299806403841314
31,0.454318458759958,-11.005496042681772,0.003147782591818091,-0.23516513296671085,0.1303670191581408
32,0.4560640815232428,-10.963371601859377,0.0031301837334918475,-0.23284857424020236,0.13029129527178887
33,0.4548354151463697,-10.992987426871673,0.0026910180914310237,-0.23184894350591895,0.13061610566744064
34,0.4536468304411661,-11.021789781133398,0.002434533063548276,-0.23151632029891517,0.1311267337641489
35,0.45285100238388115,-11.04115917526778,0.0018515174511760928,-0.23111526487070289,0.1314111042654938
36,0.4544964414832147,-11.001186244017397,0.0023284303157905936,-0.2296218976184105,0.1312897393377482
37,0.4583369987279105,-10.90900366733916,0.002937353127875409,-0.22625925640396685,0.13085022850514996
38,0.45578493027621514,-10.970086257502844,0.0021120294263808647,-0.2267785712147102,0.13140062891005796
39,0.45448603598246523,-11.00143811721623,0.0016514552797107604,-0.2272291311726889,0.13183093482637462
40,0.45543182808643834,-10.978591507335382,0.0014719425014047397,-0.22637313526890757,0.1319378145277232
41,0.45790980909270196,-10.91918080965977,0.0022079830144761258,-0.2239243433518164,0.13159723480005292
42,0.45695541991249394,-10.941986421689649,0.001468833628461052,-0.22357767330613698,0.13186012683115247
43,0.4569001980116576,-10.943308892749544,0.000992589731091995,-0.22326312090168668,0.13199456491414457
