iteration,vortex_area,omega_value,error,psi_min
1,0.04787514170902553,-52.21916658115488,0.025347521946701635,-0.1484618849900202
2,0.08460362639773683,-29.549560774700737,0.028506805819849004,-0.17505017185404054
3,0.11685575319426894,-21.393897447597897,0.022708374769580906,-0.17815029805714772
4,0.1434452874252678,-17.428247695501682,0.015286007830999336,-0.17238425285834152
5,0.16241554630305213,-15.39261515849742,0.008558261916965999,-0.16417806928909512
6,0.17548524986874742,-14.246211586841925,0.004912823591701583,-0.156930922568485
7,0.18184703137598437,-13.747818598319787,0.0036888363478215585,-0.1549140344977731
8,0.1879283039636346,-13.302945576967304,0.00204801987708697,-0.15041528098174256
9,0.18949575606387623,-13.19290759819068,0.002085418196702543,-0.15024849137510501
10,0.1927643040397792,-12.969206163212123,0.0011488702030000083,-0.1476098233766083
11,0.1941380976572254,-12.87743122122303,0.000934644576052704,-0.14578335284893704
12,0.1936226947355526,-12.911709566972343,0.0006148714498068027,-0.14575827706525388
13,0.19396756725528885,-12.888752668169753,0.000215969718717678,-0.1453345858764037
14,0.1939235209677217,-12.891680119690697,0.000300942676554117,-0.14547769479002834
15,0.1947825918796951,-12.834822536626334,0.00046290959765080586,-0.14437712528759042
16,0.1944978692195133,-12.853611250509184,0.00012082088316583613,-0.1446452823989007
17,0.19469620406920618,-12.840517420213066,0.00040236992667738416,-0.14402883924453966
18,0.19441113367882723,-12.859345823938622,0.00016177881755166692,-0.14439801463356206
19,0.19441113367882723,-12.859345823938622,0.0,-0.14439801463356206
