iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.06992456221212244,-14.301126361955763,0.02609461327309513,-0.03260937871288643,0.04547579870050109
2,0.047704367266563366,-20.96244132978813,0.0058268911679339175,-0.05831059762495987,0.04392194887797926
3,0.05076458974682664,-19.69877044190062,0.003761419978307681,-0.06539333556551993,0.04229879327216956
4,0.05558651754171804,-17.989973904184474,0.00274239840003377,-0.06662494479764645,0.04094305392510254
5,0.059725947948315046,-16.743141538169784,0.001723509777592009,-0.06583939808098452,0.039980597552837505
6,0.06204768497579929,-16.116636751073536,0.0010302030093260167,-0.06546424051145483,0.03948423417772027
7,0.06409589379897257,-15.601623454013362,0.0005718397592245913,-0.06443428179378316,0.03906737876677846
