iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.047572472954105764,-52.55139883965684,0.025826338800031712,-0.15088632742161642,0.11875168282954678
2,0.08468011563007993,-29.522869464669864,0.028072373041572337,-0.17508338945661953,0.09353779859039728
3,0.1161938921026775,-21.515760895510887,0.022997119535267257,-0.17921073056254425,0.08522731288533528
4,0.14279996360268143,-17.507007263362187,0.01526435933291852,-0.17262526781944137,0.08066873051862394
5,0.16201980288216436,-15.430212576040653,0.009282045649255463,-0.16552691003999292,0.07847070599106651
6,0.17564205748196188,-14.233493024623362,0.005039372826011168,-0.1578141309538866,0.07679886722984977
7,0.18257094371693675,-13.693307100806095,0.003126395946382885,-0.15384696847625928,0.07631818857903096
8,0.18680915440944482,-13.382641808444498,0.00199792307034911,-0.1505325389574727,0.07591641193640436
9,0.18878684512010394,-13.242448108127078,0.0013725573355917702,-0.14872298348593943,0.07595295145547905
10,0.19096133884531605,-13.091655175423067,0.0010885808463079363,-0.14649465441544202,0.07586982372660347
11,0.1925680093151177,-12.982426358829974,0.000993534536534078,-0.14445602727349496,0.07573911509281679
