iteration,A_top,A_bot,omega_top,omega_bot,error
1,0.2477145273608598,0.2610284398894563,-4.03690494317777,3.83100017922757,1.4081689594223545
2,0.0,0.0,0.0,0.0,0.08948421835909078
3,0.0,0.0,0.0,0.0,0.0
