iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.047750092652967896,-20.94236774088951,0.01425394497435322,-0.04339851133700799,0.08974982153967526
2,0.047222313563067705,-21.176429627160285,0.002845086467218623,-0.051866241963344085,0.0849902074317651
3,0.0463323651913966,-21.58318479682727,0.002944036255928938,-0.060872312150769346,0.08500058745649897
4,0.048914471527782666,-20.4438475724309,0.0020496433053182966,-0.06293502433647512,0.0824855247386107
5,0.049925329411248984,-20.029912907789125,0.001629802365813669,-0.06522317166804113,0.08272319938096676
6,0.05372872009934645,-18.61201975686303,0.0009298828205915293,-0.06292089407127964,0.0804794474273618
