iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.0482993713186559,-20.70420323698384,0.01395217367326098,-0.04254449672102767,0.12905903075436848
2,0.04722231356307197,-21.176429627158374,0.0031319326011435295,-0.05283819292564061,0.12554680409912888
3,0.0466347813818325,-21.443222641321736,0.0022387224808534806,-0.0593664106894969,0.12511910181510555
4,0.049372850127869634,-20.25404645286068,0.002064540832179855,-0.06184829869332623,0.12193471071382347
5,0.051364991094604996,-19.468513060932523,0.0014012320108942123,-0.06272294808901571,0.12040361315430441
6,0.053745077633602624,-18.60635511250574,0.0004217516157051865,-0.060558183145037116,0.11745395808453296
7,0.05462800322047047,-18.30562973287069,0.00013724644371353016,-0.05978480018593485,0.11614764643306069
8,0.05477959738846428,-18.254971698835163,0.00035030583646064394,-0.06042696086520333,0.11656330364822942
9,0.054942194068542956,-18.200947686079907,0.0010805812189468248,-0.06255278095076816,0.11821230381258005
10,0.05666786373511107,-17.64668604192337,0.0005504737088211483,-0.061858730795514974,0.11708193738585372
11,0.05730891119670039,-17.449293296948483,0.00028718652899229613,-0.060731876822108004,0.11566232961914891
12,0.05713876868785248,-17.501252178936028,7.618235946274528e-05,-0.06102962772518159,0.1160172036683348
13,0.05713876868785248,-17.501252178936028,0.0,-0.06102962772518159,0.1160172036683348
