iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.023692423449557277,-105.51896496880802,0.03278429879741827,-0.20530560075524487,0.20887461338011176
2,0.053460496050589626,-46.763501738447246,0.0343281372812191,-0.2236431044500025,0.1574445274032425
3,0.08674511838188051,-28.8200655741131,0.02752393619692351,-0.20636755984946784,0.13769292117209006
4,0.11689337754005759,-21.387011416821178,0.01756459046205407,-0.18548343486296695,0.12668502785649735
5,0.13822317019672764,-18.086692675633525,0.01031727379232176,-0.17035217882884052,0.12069650288039069
6,0.1512152700006944,-16.532721860619763,0.006268700209789952,-0.15991575183592893,0.11822873516681359
7,0.15856441347129377,-15.766463264171161,0.004712326131381914,-0.154080839363344,0.11768743369670251
8,0.16403114795662585,-15.241007766775281,0.003305445050197042,-0.14884433656586354,0.11693942086214709
9,0.1668567684901068,-14.982910328556608,0.0028373122881330125,-0.14546906716907562,0.11701213943964729
10,0.16934254128772624,-14.762976751082908,0.002240801562134912,-0.14204268715308566,0.1169279329662129
11,0.17106587494039455,-14.614253140032103,0.0022501451357042125,-0.1382573321887921,0.11646629509830206
12,0.16932240316585556,-14.764732564958855,0.0014945682203616958,-0.13888688448141717,0.11795482355876381
13,0.17099454097598274,-14.620349782693593,0.0014321692672270472,-0.1360148518656581,0.11752497738749404
14,0.1714883623539558,-14.578248725939458,0.0013303856692182055,-0.13407970078307002,0.11725909985407992
15,0.1704123473279847,-14.670298480123432,0.0011467362473071346,-0.13332736225015265,0.11764324067595573
16,0.16953164507601517,-14.746509413502368,0.0004617015825357083,-0.13342874755715933,0.11815124800423021
17,0.16985533757244123,-14.718407061737347,0.0006145220191367242,-0.1323674062951796,0.11811927417902642
18,0.1709455728663651,-14.6245378460567,0.0008941194554330355,-0.1304611138698226,0.117515455381763
19,0.1694962843406441,-14.749585866883315,0.0005307247834577437,-0.1317533700509046,0.11836620883167212
20,0.17046153537894349,-14.666065247167873,0.0005430221102582489,-0.13039994484025655,0.11778381837340815
21,0.16957733631509433,-14.742536086041063,0.000272264799768386,-0.13101904034437767,0.11821772241951803
22,0.17010684335320253,-14.696645653514995,0.00033891449325164645,-0.1302502173098816,0.1178490606292776
23,0.16919599525083182,-14.775763435143771,0.0004253589455826198,-0.13133085410440679,0.1184145306728637
24,0.1698673254183642,-14.717368356997321,0.0004275573825268918,-0.13035674996131197,0.11794654634145044
25,0.16906124167340092,-14.787540747095642,0.00044411869926175475,-0.13143057418466111,0.11847799161906326
26,0.1697325718409333,-14.729052726208037,0.0004279449286869106,-0.13045530226855667,0.11800938474473241
27,0.16897624451802323,-14.794979064251523,0.00042787726007993313,-0.1314821124110581,0.11851988778385204
28,0.16935485133779524,-14.761903661168224,0.00024187621003124335,-0.1309307510835442,0.11825492674235172
29,0.16935485133779524,-14.761903661168224,0.0,-0.1309307510835442,0.11825492674235172
