iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.04787514170902553,-20.88766663246195,0.01381841709254743,-0.04254952928084031,0.11528443357386679
2,0.046755120788989156,-21.38803158082099,0.0029376887130653463,-0.05159919831321295,0.1078753356434069
3,0.045727680681449404,-21.86859217650362,0.003223781387670313,-0.06149271996837052,0.11051000448314716
4,0.04918329476753688,-20.332106759550474,0.0022337346097589697,-0.06328174761301433,0.10802269793702085
5,0.05181482223087985,-19.29949688033542,0.0014619090179427716,-0.06361955990437121,0.10590924750433119
6,0.053834012444193176,-18.575617060620296,0.0009743750919214869,-0.06302507868217382,0.10499816396569889
7,0.05483374991728518,-18.236943515781167,0.00036863698019955443,-0.06266173726136978,0.1044255848887594
8,0.05544449682855401,-18.036055103759157,0.00010354388562456568,-0.06215924756210001,0.10365726301632273
9,0.055297509763141746,-18.083996987989945,6.720786985786081e-05,-0.06243339839456709,0.10393279580188032
10,0.05543347452777237,-18.039641363252386,4.529539281068189e-05,-0.062233087388756714,0.10375569943199464
11,0.055338051599976394,-18.07074826610676,4.365817137613485e-05,-0.062411061041223265,0.10393461199449125
12,0.055338051599976394,-18.07074826610676,0.0,-0.062411061041223265,0.10393461199449125
