iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.047572472954105764,-21.020559535862734,0.014249618079232855,-0.04348200954468752,0.04750067313181867
2,0.04713064121477541,-21.21761924356126,0.002826924000499192,-0.05205969713196729,0.0448022497837611
3,0.0468472665814487,-21.345962592319,0.0027512084596075033,-0.05987991205366525,0.04434177771029516
4,0.049175501909402314,-20.335328795267483,0.002245597428046803,-0.06285559171464915,0.04349032110029299
5,0.0517985214333052,-19.305570358559002,0.0015509085517160758,-0.06337854344292863,0.04263939311168119
6,0.053943679841637754,-18.537852866836225,0.0009725889689888115,-0.06306072116319361,0.04201612314975543
