iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.02336699522474569,-213.97701980548152,0.07610019903169997,-0.46146651570106506,0.28678349850699986
2,0.08371556204305802,-59.72605185913121,0.11288305865202096,-0.5149159648900848,0.1842421023866293
3,0.18249496976867838,-27.398015443043462,0.09803100531136909,-0.4510835534623963,0.14845842963338282
4,0.28154001355858016,-17.75946493999741,0.06163327483857729,-0.3868745397078983,0.1358541274820334
5,0.35089664268202214,-14.249210142859456,0.03642651174825504,-0.34576605116912246,0.12937045738540212
6,0.39379697592307894,-12.696897908572714,0.02398193964617088,-0.31930154810328676,0.1269373353660043
7,0.4169724947031818,-11.991198612654788,0.018204753702110662,-0.3031586211247151,0.1261717170917621
8,0.43265741059702073,-11.556487598584148,0.014884539191904802,-0.2900895284892423,0.1255934994128571
9,0.4398971073343708,-11.366294337096976,0.012459620418754265,-0.28231366131291175,0.12576957637763692
10,0.4478650456683735,-11.164077322752943,0.010746373374679093,-0.2737285271704671,0.12557588919657012
11,0.4525172458218992,-11.049302642418825,0.008898173115126765,-0.26787181445444186,0.1258948257203546
12,0.4566932933521257,-10.948266753163887,0.007426117564931399,-0.26219191067673275,0.12603239237510075
13,0.458467326034381,-10.905902593427223,0.006702907347583409,-0.257764574573728,0.12628620213696246
14,0.4615322506078837,-10.83347911963791,0.0059845745552390755,-0.2526655077750537,0.1264664138763235
15,0.46177981094364506,-10.8276712872798,0.005115619338981259,-0.250034732831101,0.12707257563402607
16,0.4636273835881814,-10.784522608011581,0.004081885450768792,-0.2469944942570095,0.12725104322426506
17,0.46411270585885595,-10.773245241686142,0.003719378718514686,-0.24494343265184465,0.1277248449960502
18,0.4641441876470745,-10.772514518272704,0.002633300901300271,-0.24355225162149116,0.1280025339347325
19,0.46612424435756467,-10.726753779759399,0.003026904243855926,-0.24057900855097716,0.12788031450968734
20,0.4637362924492577,-10.781989853742369,0.002411276585719474,-0.23992682072679675,0.1285973324638958
21,0.4633193722116951,-10.791692080847099,0.001807665650646503,-0.23915890752521174,0.1288387626889865
22,0.46604579983066663,-10.728559300001637,0.002195042999695208,-0.23635827616229582,0.12856312029818007
23,0.46556847321565414,-10.739558813906132,0.0016081112696638585,-0.23560825568199203,0.1288272251663635
24,0.4660370603203404,-10.728760490771151,0.0010332096751682423,-0.2348800477679521,0.12888384789336121
25,0.4666006171074254,-10.715802372907815,0.0010744363479077176,-0.2337835388706526,0.12889067799818701
26,0.4663074342622244,-10.722539750863781,0.000801061990865248,-0.23338464985012028,0.12904475633523876
