iteration,vortex_area,omega_value,error,psi_min
1,0.047572472954105764,-21.020559535862734,0.014249618079232855,-0.04348200954468752
2,0.04713064121477541,-21.21761924356126,0.002826924000499192,-0.05205969713196729
3,0.0468472665814487,-21.345962592319,0.0027512084596075033,-0.05987991205366525
4,0.049175501909402314,-20.335328795267483,0.002245597428046803,-0.06285559171464915
5,0.0517985214333052,-19.305570358559002,0.0015509085517160758,-0.06337854344292863
6,0.053943679841637754,-18.537852866836225,0.0009725889689888115,-0.06306072116319361
7,0.05509539968146819,-18.150335704640664,0.0006071593824697416,-0.06301216128240443
8,0.05644760581737349,-17.715543210731166,0.0002799359820914255,-0.06195597763163872
9,0.05680733769294572,-17.603359717457398,0.00011220847672605702,-0.061684084276149374
10,0.05694175190905248,-17.561805994258883,7.647312908855434e-05,-0.06161666851639127
11,0.056982293745887126,-17.54931109757543,4.8133589405168e-05,-0.0616522417926046
12,0.056982293745887126,-17.54931109757543,6.932430061965478e-05,-0.06176816509008793
13,0.056982293745887126,-17.54931109757543,3.967726023946865e-06,-0.061773360240829946
14,0.056982293745887126,-17.54931109757543,0.0,-0.061773360240829946
