iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.02336699522474569,-106.98850990274076,0.03392204247781307,-0.21307525828180823,0.1433917492535003
2,0.05431971892605056,-46.02380221082208,0.033774711114068996,-0.22216966105056352,0.10401702538122366
3,0.08696163875367606,-28.748308286615856,0.026733148027775044,-0.20520188196904274,0.0913582238481341
4,0.11601792181067856,-21.5483949460806,0.017208674300085148,-0.1856154447101522,0.0845672345870325
5,0.13760011158294932,-18.168589917842674,0.010426905160424556,-0.1701330864339161,0.08035010197126863
6,0.1500298452976049,-16.663351182165822,0.00626449075696638,-0.1607512457096669,0.0788466450016184
7,0.15877820385987101,-15.745234164547949,0.004429680874351003,-0.15344618271050026,0.07809111594365761
8,0.1627941276947146,-15.35681928704586,0.0033279112233762734,-0.14928950842885183,0.07807471029148766
9,0.16569503361955068,-15.087959761909364,0.002842796247031851,-0.14509312449919323,0.07795010305517422
10,0.16752067929741307,-14.923530697732827,0.002361329420856992,-0.14172791826954936,0.0779717908609741
11,0.16862075062196077,-14.826170508544788,0.0018815570959754835,-0.1394188854366422,0.07812335754225574
12,0.16889960825752684,-14.801692116349773,0.001512740280954685,-0.13797868338098015,0.07828469855168556
13,0.16997296697785763,-14.708221221587989,0.0012780304753187929,-0.1358683557960334,0.07821363255509738
14,0.1704735336516489,-14.665033019779951,0.0011150131370380124,-0.13430393894879536,0.07829184379869882
15,0.1695529406173177,-14.744657278711074,0.0008518962871636444,-0.1343415760419064,0.07862760146225087
