iteration,A_top,A_bot,omega_top,omega_bot,error
1,0.2470381017398461,0.26059321481257297,-20.239792828660338,19.186992276817957,1.4609653476329731
2,0.0,0.0,0.0,0.0,0.427612837407777
3,0.0,0.0,0.0,0.0,0.0
