iteration,vortex_area,omega_value,error,psi_min
1,0.04781860441731278,-104.56181356454945,0.0659574691550705,-0.33604363477399074
2,0.1252175036625358,-39.930519725701615,0.10416137750097898,-0.434007872434639
3,0.22411512056545868,-22.30996278780583,0.08579243525844575,-0.41437659063770443
4,0.3154203000862435,-15.851864951725934,0.05246409612130623,-0.3683850085331778
5,0.37773374366115253,-13.236837015242326,0.03115426657783148,-0.33716534949332394
6,0.4182530676456104,-11.954484944116526,0.019375795707275885,-0.3129885986568826
7,0.440003081306442,-11.363556784998352,0.013995389461493812,-0.2995029164851915
8,0.4538881674659962,-11.015929381711814,0.011170382131383898,-0.2888785541426867
9,0.46373932977398846,-10.781919235612037,0.009231776945128441,-0.2794545617686504
10,0.4696069156450608,-10.647202656996452,0.007647966133121889,-0.2722753461474146
11,0.4722620805724463,-10.587341659824384,0.0059393923262193015,-0.26774659811730733
12,0.47539035022585374,-10.51767247194762,0.0043192242172971716,-0.26444889914475295
13,0.4777011376364635,-10.46679525348977,0.004050329409532467,-0.26069119778660815
14,0.47784719390454783,-10.463596027726748,0.002741287380142205,-0.2594302104983462
15,0.47945179399354093,-10.428577101261945,0.0029800404899247516,-0.2567670864293994
16,0.4812522328249012,-10.389562185822003,0.0028733485192611726,-0.2539235466304546
17,0.48191091611297043,-10.375361571655892,0.0027917891909629297,-0.25073965999542186
18,0.4802492433987202,-10.411260545909533,0.0010693502558026839,-0.2506689952524111
19,0.48049028282534917,-10.40603770506931,0.0014975679109229258,-0.2500156400933488
20,0.48073800785831716,-10.400675457875586,0.0011157383389397643,-0.2496585849889762
21,0.47966241849235935,-10.423997810200856,0.0014151744929159565,-0.25031437883218494
22,0.48347534512933765,-10.341788987528242,0.0017830894342964988,-0.24726072082749198
23,0.4841549590023851,-10.327272099624139,0.0009856209028604385,-0.24598064954911725
24,0.4838135263947905,-10.334560170853953,0.0006237773649197559,-0.2454885269216197
25,0.48343753231620606,-10.34259788652406,0.000674611742762558,-0.24503903368733984
26,0.4831912994294458,-10.34786844445258,0.00018809407616758746,-0.24512201770535483
27,0.48315433990677487,-10.348660018172982,9.807410625628256e-05,-0.2450923962146721
28,0.48315433990677487,-10.348660018172982,4.111407928638922e-05,-0.24507409698637608
29,0.48287848671406447,-10.354571880028153,0.0001573839052897678,-0.2453238992723073
